band_number,year,sex,colour,wing_chord,wing_flat,tail,p_9,weight,date,nest_box,clutch_size,clutch_number,no_of_young_fledged,number_hatch,location
2181.7829,2010,F,BLU,117,119,56,95,19.5,2024-06-01,PT02J,6,1,6,5,PT
2221.31605,2010,F,BLU,111,114,52,91,20,2010-06-08,SL21,5,1,4,4,SL
2221.31605,2011,M,BLU,120,122,53,96,21.6,2011-06-17,SL21,5,1,2,2,SL
2221.31605,2012,M,BLU,119,121,53,96,22.3,2012-05-30,SL80,5,1,0,5,SL
2221.31611,2010,M,BLU,119,121,57,94,21,2010-06-06,SL39,6,1,6,6,SL
2221.31612,2010,F,BLU,114.5,116,52,92,19.5,2010-06-07,SL21,5,1,4,4,SL
2221.31619,2010,M,BLU,122,124,61,98,20,2010-06-11,SL30,5,1,4,4,SL
2221.317,2011,M,BLU,119,122,60,95,19.9,2011-06-12,MC72,6,1,5,6,MC
2221.31734,2011,M,BLU,115,118,55,91,20.4,2011-06-17,MC35,7,1,5,7,MC
2221.31734,2011,M,BLU,116,120,54,92,20.4,2011-06-13,MC35,7,1,5,7,MC
2221.31738,2010,M,BLU,115,117,60,94,20,2010-06-08,SL10,6,1,6,6,SL
2221.31738,2011,M,BLU,117,120,57,93,20.3,2011-06-10,SL12,9,1,7,9,SL
2221.31738,2012,M,BLU,119,121,51,95,20.9,2012-05-31,SL12,7,1,6,6,SL
2221.31743,2010,M,BLU,121,122,52,96,19.54,2010-06-10,MC04,5,1,5,5,MC
2221.31763,2011,M,BLU,120,123,55,97,20.9,2011-06-10,MC69,5,1,4,4,MC
2221.31763,2012,M,BLU,117,120,59,93,20.7,2012-06-02,MC25,5,1,5,5,MC
2221.31802,2010,M,BLU,119,122,59,96,18.9,2010-06-10,MC57,6,2,5,5,MC
2221.31802,2011,M,BLU,119,120,59,94,19.2,2011-06-13,MC57,6,1,1,1,MC
2221.31802,2012,M,BLU,122,122,60,94,20,2012-05-31,MC43,6,1,6,6,MC
2221.31804,2010,F,BLU,114,115,52,90,18.8,2010-06-12,SL03,6,1,5,5,SL
2221.31831,2011,F,BLU,112,114,54,91,21.8,2011-06-05,SL18,6,1,5,5,SL
2221.31831,2012,F,BLU,113,115,53,91,21.5,2012-05-28,SL18,5,1,0,5,SL
2221.31845,2011,M,BLU,116,120,55,95,21.8,2011-06-17,MC74,3,1,2,3,MC
2221.31901,2010,M,BLU,112,114,51,89,21,2010-06-07,MC40,6,1,4,6,MC
2221.3191,2011,M,BLU,117,119,55,94,21.4,2011-06-09,MC50,5,1,5,5,MC
2221.3194,2010,F,BLU,110,113,54,90,20,2010-06-12,MC37,4,1,3,4,MC
2221.31946,2011,F,BLU,113,115,55,92,21.1,2011-06-12,MC18,7,1,4,4,MC
2221.31946,2012,F,BLU,117,119,60,91,18.7,2012-06-08,MC76,6,1,5,5,MC
2221.31952,2010,F,BLU,112.5,133.5,54,91,23.5,2010-06-07,SL26,5,1,5,5,SL
2221.31954,2010,F,BLU,115,116,53,88,20.3,2010-06-10,MC74,5,1,3,5,MC
2221.31954,2010,F,BLU,115,116,53,88,20.3,2010-06-10,MC74,5,1,3,5,MC
2221.31954,2010,F,INT,113,116,56,92,20.2,2010-06-10,MC74,5,1,3,5,MC
2221.31954,2010,F,INT,113,116,56,92,20.2,2010-06-10,MC74,5,1,3,5,MC
2221.31965,2011,F,BLU,114,116,54,88,20.5,2011-06-11,MC14,6,1,4,5,MC
2221.31965,2012,F,INT,114,116,51,87,17.2,2012-06-02,MC63,3,1,3,3,MC
2221.31976,2011,F,BLU,111,114,56,85,19,2011-06-07,MC05,5,1,5,5,MC
2221.72068,2011,M,BLU,118,120,56,92,21.16,2011-06-14,PT18E,6,1,6,6,PT
2311.91242,2012,F,BLU,114,115,46,87,21.1,2012-05-31,SL70,5,1,4,4,SL
2311.93046,2011,M,BLU,119,121,56,95,21,2011-06-07,MC68,4,1,3,3,MC
2311.93046,2012,M,BLU,119,120,51,95,20.6,2012-06-17,MC27,4,1,1,2,MC
2311.93049,2010,M,BLU,115,118,56,97,18.6,2010-06-08,SL80,5,1,4,4,SL
2311.93049,2011,M,BLU,118,119,56,93,18.9,2011-06-09,SL80,5,1,3,5,SL
2311.93056,2011,F,BLU,115,116,58,94,18.2,2011-06-13,MC57,6,1,1,1,MC
2311.93057,2012,M,BLU,120,124,59,99,20.1,2012-06-05,SL79,6,1,5,6,SL
2311.9308,2011,F,BLU,115,117,56,91,19.8,2011-06-12,MC64,5,1,4,4,MC
2311.93108,2010,M,BLU,117,120,58,96,20,2010-06-12,MC53,3,1,3,3,MC
2311.93145,2011,F,BLU,113,116,55,92,20.4,2011-06-14,MC74,3,1,2,3,MC
2311.93145,2012,F,BLU,113,115,55,90,17.7,2012-06-06,MC49,5,1,3,3,MC
2311.93234,2010,F,BLU,112,114.5,56.5,90,19.1,2010-06-10,MC39,6,1,4,4,MC
2311.93234,2011,F,BLU,115,118,57,88,19.5,2011-06-13,MC70,6,1,5,5,MC
